eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
00046ED,CISCO,N7K-F132XP-15,RTP10 SDU Lab,HH,12,020022838,ACTIVE,JAF1538BPAN,SDU VMDC Ent,SDU-RTP10,4
00046EF,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1536BQBC,SDU Spares,SDU-RTP10,3
0004717,CISCO,ASA-SSP-10-INC,RTP10 SDU Lab,F,21,020022838,ACTIVE,JAF1527DEJJ,SDU CVF,SDU-RTP10,2
00047A9,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,G,24,020022838,ACTIVE,JAF1536BQGH,SDU CVF,SDU-RTP10,2
00047E9,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,24,020022838,ACTIVE,FOC1545R02Q,SDU CVF,SDU-RTP10,2
000485A,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,23,020022838,ACTIVE,FOC1545R02T,SDU CVF,SDU-RTP10,2
000487E,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3EY,SDU CVF,SDU-RTP10,2
0004888,CISCO,N5K-C5596UP-FA,RTP10 SDU Lab,G,27,020022838,ACTIVE,FOX1516GAE2,SDU CVF,SDU-RTP10,2
0004935,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1526AHCH,SDU Spares,SDU-RTP10,3
0004951,CISCO,N5K-C5596UP-FA,RTP10 SDU Lab,G,27,020022838,ACTIVE,FOX1513GHG8,SDU CVF,SDU-RTP10,2
0004979,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,29,020022838,ACTIVE,FOC1546R0SL,SDU CVF,SDU-RTP10,2
0004999,CISCO,N7K-F132XP-15,RTP10 SDU Lab,HH,11,020022838,ACTIVE,JAF1519AHEF,SDU VMDC Ent,SDU-RTP10,4
00049DE,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,HH,08,020022838,ACTIVE,SSI150412Z8,SDU VMDC Ent,SDU-RTP10,4
00049EF,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,E,05,020022838,ACTIVE,SSI144810MH,SDU Spares,SDU-RTP10,3
00049F6,CISCO,NAM2220,RTP10 SDU Lab,D,21,020022838,ACTIVE,FTX150452Z9,SDU Spares,SDU-RTP10,3
00049F8,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,G,24,020022838,ACTIVE,JAF1536BQEN,SDU CVF,SDU-RTP10,2
0004A63,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,GG,02,020022838,ACTIVE,SSI145000JV,SDU VMDC Ent,SDU-RTP10,4
0004A6D,CISCO,N10-S6100-UPG,RTP10 SDU Lab,FF,28,020022838,ACTIVE,SSI1526200P,SDU CVF,SDU-RTP10,2
0004A71,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,FF,26,020022838,ACTIVE,JAF1536BQBS,SDU CVF,SDU-RTP10,2
0004A72,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,HH,05,020022838,ACTIVE,JAF1536BQDL,SDU VMDC Ent,SDU-RTP10,4
0004A78,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,HH,03,020022838,ACTIVE,JAF1536BQBL,SDU VMDC Ent,SDU-RTP10,4
0004B88,CISCO,B230-BASE-M2,RTP10 SDU Lab,GG,06,020022838,ACTIVE,FCH1601735Q,SDU VMDC Ent,SDU-RTP10,4
0004C0B,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,GG,02,020022838,ACTIVE,SSI144807M5,SDU VMDC Ent,SDU-RTP10,4
0004C22,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,23,020022838,ACTIVE,FOC1545R02W,SDU CVF,SDU-RTP10,2
0004C59,CISCO,N7K-F248XP-25,RTP10 SDU Lab,D,12,020022838,ACTIVE,JAF1603ADCQ,SDU Spares,SDU-RTP10,3
0004C60,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,FF,26,020022838,ACTIVE,JAF1536AHAJ,SDU CVF,SDU-RTP10,2
0004C66,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,FF,27,020022838,ACTIVE,JAF1536AGSL,SDU CVF,SDU-RTP10,2
0004C83,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,FF,27,020022838,ACTIVE,JAF1536BQED,SDU CVF,SDU-RTP10,2
0004CBF,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A7D5,SDU CVF,SDU-RTP10,2
0004CC9,CISCO,N7K-F132XP-15,RTP10 SDU Lab,G,18,020022838,ACTIVE,JAF1538BPAC,SDU CVF,SDU-RTP10,2
0004CD6,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1526AHBP,SDU Spares,SDU-RTP10,3
0004D07,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,HH,05,020022838,ACTIVE,JAF1536BQFD,SDU VMDC Ent,SDU-RTP10,4
0004D20,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,23,020022838,ACTIVE,FOC1545R02M,SDU CVF,SDU-RTP10,2
0004D4A,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1536AGTQ,SDU Spares,SDU-RTP10,3
0004E02,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,23,020022838,ACTIVE,FOC1545R0NA,SDU CVF,SDU-RTP10,2
0004E13,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3E9,SDU CVF,SDU-RTP10,2
0004E3A,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1524ASNM,SDU Spares,SDU-RTP10,3
0004EA7,CISCO,N7K-F132XP-15,RTP10 SDU Lab,FF,18,020022838,ACTIVE,JAF1537BGLJ,SDU CVF,SDU-RTP10,2
0004EC8,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1519AHJF,SDU Spares,SDU-RTP10,3
0004EEA,CISCO,N7K-F132XP-15,RTP10 SDU Lab,FF,17,020022838,ACTIVE,JAF1538ANFN,SDU CVF,SDU-RTP10,2
0004F17,CISCO,N5K-C5596UP-FA,RTP10 SDU Lab,HH,08,020022838,ACTIVE,FOX1514GC7D,SDU VMDC Ent,SDU-RTP10,4
0004F2E,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1526AHCA,SDU Spares,SDU-RTP10,3
0004FBE,EMC2,SYMMETRIX,RTP10 SDU Lab,GG,18,020022838,ACTIVE,APM00112504463,SDU Spares,SDU-RTP10,3
0004FC8,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1519CARM,SDU Spares,SDU-RTP10,3
0004FD6,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1536BQBN,SDU Spares,SDU-RTP10,3
0005094,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1536BQFS,SDU Spares,SDU-RTP10,3
0005183,CISCO,ASR1004,RTP10 SDU Lab,GG,11,020022838,ACTIVE,FOX1530GPSM,SDU VMDC Ent,SDU-RTP10,4
0005193,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,E,05,020022838,ACTIVE,SSI144807LT,SDU Spares,SDU-RTP10,3
0005195,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1519CASE,SDU Spares,SDU-RTP10,3
000519A,CISCO,N5K-C5596UP-FA,RTP10 SDU Lab,HH,08,020022838,ACTIVE,FOX1517GLXY,SDU VMDC Ent,SDU-RTP10,4
00051AC,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,23,020022838,ACTIVE,FOC1545R02X,SDU CVF,SDU-RTP10,2
00051B4,CISCO,ASA-SSP-10-INC,RTP10 SDU Lab,F,21,020022838,ACTIVE,JAF1527DEKD,SDU CVF,SDU-RTP10,2
00051C5,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1510ARPM,SDU Spares,SDU-RTP10,3
00051EC,CISCO,N10-S6100-UPG,RTP10 SDU Lab,EE,26,020022838,ACTIVE,SSI1526206X,SDU CVF,SDU-RTP10,2
000521D,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1523ATCQ,SDU Spares,SDU-RTP10,3
0005245,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,HH,08,020022838,ACTIVE,SSI144812RG,SDU VMDC Ent,SDU-RTP10,4
0005302,CISCO,N10-S6100-UPG,RTP10 SDU Lab,EE,26,020022838,ACTIVE,SSI15230H7F,SDU CVF,SDU-RTP10,2
0005306,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,HH,08,020022838,ACTIVE,SSI15120E0J,SDU VMDC Ent,SDU-RTP10,4
0005328,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1510ARQG,SDU Spares,SDU-RTP10,3
0005372,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,G,24,020022838,ACTIVE,JAF1536BQDR,SDU CVF,SDU-RTP10,2
00053B3,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,HH,08,020022838,ACTIVE,SSI144810Q4,SDU VMDC Ent,SDU-RTP10,4
00053C2,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1508DCKF,SDU Spares,SDU-RTP10,3
00053DA,CISCO,N7K-F132XP-15,RTP10 SDU Lab,G,19,020022838,ACTIVE,JAF1538ANES,SDU CVF,SDU-RTP10,2
00053E1,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,G,24,020022838,ACTIVE,JAF1536BQDB,SDU CVF,SDU-RTP10,2
00053E2,SPIRENT COMMUNICATIONS,CV-10G-S8,RTP10 SDU Lab,GG,01,020022838,ACTIVE,SNNO-00053E2,SDU VMDC Ent,SDU-RTP10,4
000545A,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1536BQFC,SDU Spares,SDU-RTP10,3
000547B,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,HH,02,020022838,ACTIVE,FOC1545R023,SDU VMDC Ent,SDU-RTP10,4
0005537,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3EU,SDU CVF,SDU-RTP10,2
000554C,CISCO,N10-S6100-UPG,RTP10 SDU Lab,FF,28,020022838,ACTIVE,SSI152624S6,SDU CVF,SDU-RTP10,2
0009629,CISCO,N7K-M148GT-11L,RTP10 SDU Lab,E,01,020022838,ACTIVE,JAF1537AQBJ,SDU Spares,SDU-RTP10,3
000962A,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,06,020022838,ACTIVE,SSI1537008K,SDU VMDC Ent,SDU-RTP10,4
000962B,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,28,020022838,ACTIVE,FOC1546R0U1,SDU CVF,SDU-RTP10,2
000962C,CISCO,UCS-IOM-2208XP,RTP10 SDU Lab,GG,06,020022838,ACTIVE,FCH1547718D,SDU VMDC Ent,SDU-RTP10,4
000962D,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,22,020022838,ACTIVE,JAF1537ASRS,SDU CVF,SDU-RTP10,2
000962E,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,25,020022838,ACTIVE,JAF1536AJKC,SDU CVF,SDU-RTP10,2
000962F,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,19,020022838,ACTIVE,JAF1537BEFB,SDU CVF,SDU-RTP10,2
0009630,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,D,12,020022838,ACTIVE,JAF1537BDTF,SDU Spares,SDU-RTP10,3
0009631,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,EE,30,020022838,ACTIVE,JAF1537ASSM,SDU CVF,SDU-RTP10,2
0009633,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,07,020022838,ACTIVE,SSI153502XG,SDU VMDC Ent,SDU-RTP10,4
0009634,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,07,020022838,ACTIVE,SSI153702XA,SDU VMDC Ent,SDU-RTP10,4
0009635,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,D,30,020022838,ACTIVE,JAF1528EBEM,SDU Spares,SDU-RTP10,3
0009636,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,20,020022838,ACTIVE,JAF1537ASRL,SDU CVF,SDU-RTP10,2
0009637,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,26,020022838,ACTIVE,JAF1536AJKH,SDU CVF,SDU-RTP10,2
0009638,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,FF,28,020022838,ACTIVE,SSI153702ZT,SDU CVF,SDU-RTP10,2
0009639,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,27,020022838,ACTIVE,JAF1537ASQH,SDU CVF,SDU-RTP10,2
000963A,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,EE,31,020022838,ACTIVE,JAF1537ASTF,SDU CVF,SDU-RTP10,2
000963B,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,28,020022838,ACTIVE,FOC1545R024,SDU CVF,SDU-RTP10,2
000963D,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,24,020022838,ACTIVE,FOC1545R02P,SDU CVF,SDU-RTP10,2
000963E,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,06,020022838,ACTIVE,SSI153202B5,SDU VMDC Ent,SDU-RTP10,4
000963F,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,21,020022838,ACTIVE,JAF1536AJQB,SDU CVF,SDU-RTP10,2
0009640,CISCO,N20-C6508,RTP10 SDU Lab,G,23,020022838,ACTIVE,FOX1540GL9Y,SDU CVF,SDU-RTP10,2
0009644,CISCO,N7K-C7009-BUN2,RTP10 SDU Lab,FF,26,020022838,ACTIVE,JAF1546DDFE,SDU CVF,SDU-RTP10,2
0009645,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,07,020022838,ACTIVE,SSI15360DJW,SDU VMDC Ent,SDU-RTP10,4
0009646,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,23,020022838,ACTIVE,FOC1546R0RW,SDU CVF,SDU-RTP10,2
0009647,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,31,020022838,ACTIVE,JAF1537BEAC,SDU CVF,SDU-RTP10,2
0009649,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,29,020022838,ACTIVE,FOC1545R02G,SDU CVF,SDU-RTP10,2
000964A,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,06,020022838,ACTIVE,SSI15360DJX,SDU VMDC Ent,SDU-RTP10,4
000964C,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,28,020022838,ACTIVE,FOC1545R02E,SDU CVF,SDU-RTP10,2
000964D,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,28,020022838,ACTIVE,FOC1545R020,SDU CVF,SDU-RTP10,2
000964E,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,F,30,020022838,ACTIVE,JAF1536AJLC,SDU CVF,SDU-RTP10,2
000964F,CISCO,N7K-SUP1-BUN,RTP10 SDU Lab,E,01,020022838,ACTIVE,JAF1537BEAK,SDU Spares,SDU-RTP10,3
0009650,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,28,020022838,ACTIVE,FOC1545R02D,SDU CVF,SDU-RTP10,2
000965B,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,29,020022838,ACTIVE,FOC1545R02Z,SDU CVF,SDU-RTP10,2
000965C,CISCO,N7K-C7009-BUN2,RTP10 SDU Lab,FF,27,020022838,ACTIVE,JAF1546DDKT,SDU CVF,SDU-RTP10,2
000965F,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,06,020022838,ACTIVE,SSI1537008Q,SDU VMDC Ent,SDU-RTP10,4
0009660,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,28,020022838,ACTIVE,FOC1545R01Y,SDU CVF,SDU-RTP10,2
0009661,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,GG,07,020022838,ACTIVE,SSI15360DJJ,SDU VMDC Ent,SDU-RTP10,4
0009662,CISCO,N5K-C5548UP-FA,RTP10 SDU Lab,FF,28,020022838,ACTIVE,SSI15360DJS,SDU CVF,SDU-RTP10,2
0009663,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,24,020022838,ACTIVE,FOC1546R0PG,SDU CVF,SDU-RTP10,2
00099ED,CISCO,N20-B6625-2,RTP10 SDU Lab,EE,09,020022838,ACTIVE,QCI1540A2UZ,SDU Spares,SDU-RTP10,3
0009A2A,CISCO,N20-C6508,RTP10 SDU Lab,EE,26,020022838,ACTIVE,FOX1533GKN2,SDU CVF,SDU-RTP10,2
0009B59,CISCO,N20-B6625-2,RTP10 SDU Lab,EE,09,020022838,ACTIVE,QCI1540A2VU,SDU Spares,SDU-RTP10,3
0009B6F,CISCO,N20-B6625-2,RTP10 SDU Lab,EE,09,020022838,ACTIVE,QCI1540A2UI,SDU Spares,SDU-RTP10,3
0009BA8,CISCO,N20-B6625-2,RTP10 SDU Lab,EE,09,020022838,ACTIVE,QCI1540A2S0,SDU Spares,SDU-RTP10,3
0009C4C,CISCO,R200-1120402W,RTP10 SDU Lab,E,05,020022838,ACTIVE,QCI1532A023,SDU Spares,SDU-RTP10,3
0009C4D,CISCO,R200-1120402W,RTP10 SDU Lab,E,05,020022838,ACTIVE,QCI1532A01U,SDU Spares,SDU-RTP10,3
0009C54,CISCO,R200-1120402W,RTP10 SDU Lab,E,05,020022838,ACTIVE,QCI1532A02R,SDU Spares,SDU-RTP10,3
0009C6A,CISCO,WS-C3750X-24P-S,RTP10 SDU Lab,I,11,020022838,ACTIVE,FDO1532P0JZ,SDU Spares,SDU-RTP10,3
0009CD2,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,CC,05,020022838,ACTIVE,SAL1525G8Z5,SDU CVF,SDU-RTP10,2
0009CD3,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,HH,02,020022838,ACTIVE,SAL1525G8XQ,SDU VMDC Ent,SDU-RTP10,4
0009CD8,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,FF,18,020022838,ACTIVE,SAL1524FW7C,SDU CVF,SDU-RTP10,2
0009CDA,CISCO,7600-ES+4TG3CXL,RTP10 SDU Lab,DD,26,020022838,ACTIVE,JAE1503070L,SDU Spares,SDU-RTP10,3
0009CE1,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,FF,17,020022838,ACTIVE,SAL1525G8Y6,SDU CVF,SDU-RTP10,2
0009CE5,CISCO,DS-X9530-SF2AK9,RTP10 SDU Lab,FF,31,020022838,ACTIVE,JAF1518AQFG,SDU CVF,SDU-RTP10,2
0009CE6,CISCO,DS-X9530-SF2AK9,RTP10 SDU Lab,FF,31,020022838,ACTIVE,JAF1518AQGK,SDU CVF,SDU-RTP10,2
0009CF7,CISCO,7600-ES+4TG3CXL,RTP10 SDU Lab,DD,26,020022838,ACTIVE,JAE15170CKE,SDU Spares,SDU-RTP10,3
0009CFA,CISCO,DS-X9530-SF2AK9,RTP10 SDU Lab,FF,30,020022838,ACTIVE,JAF1517DMEQ,SDU CVF,SDU-RTP10,2
0009D00,CISCO,DS-X9530-SF2AK9,RTP10 SDU Lab,FF,30,020022838,ACTIVE,JAF1518AQJD,SDU CVF,SDU-RTP10,2
0009D05,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,HH,02,020022838,ACTIVE,SAL1525G901,SDU VMDC Ent,SDU-RTP10,4
0009D0F,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1524DALF,SDU Spares,SDU-RTP10,3
0009D10,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,G,26,020022838,ACTIVE,SAL1527HTKX,SDU CVF,SDU-RTP10,2
0009D16,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,CC,05,020022838,ACTIVE,SAL1525G8XP,SDU CVF,SDU-RTP10,2
0009D22,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,HH,04,020022838,ACTIVE,JAF1524ASNT,SDU VMDC Ent,SDU-RTP10,4
0009D3B,CISCO,ACE-4710-K9,RTP10 SDU Lab,F,17,020022838,ACTIVE,QCF152601U1,SDU CVF,SDU-RTP10,2
0009D56,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,HH,03,020022838,ACTIVE,JAF1525ASCT,SDU VMDC Ent,SDU-RTP10,4
0009DC5,CISCO,R250-2480805W,RTP10 SDU Lab,E,04,020022838,ACTIVE,PGS142800DG,SDU Spares,SDU-RTP10,3
0009DC6,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,G,19,020022838,ACTIVE,SAL1523FC5H,SDU CVF,SDU-RTP10,2
0009DC8,CISCO,7600-ES+4TG3CXL,RTP10 SDU Lab,DD,26,020022838,ACTIVE,SAL1519DBXF,SDU Spares,SDU-RTP10,3
0009DF1,CISCO,R250-2480805W,RTP10 SDU Lab,E,04,020022838,ACTIVE,PGS1428007E,SDU Spares,SDU-RTP10,3
0009DFF,CISCO,ACE30-MOD-K9,RTP10 SDU Lab,G,26,020022838,ACTIVE,SAL1522EY8G,SDU CVF,SDU-RTP10,2
0009E1F,CISCO,R250-2480805W,RTP10 SDU Lab,E,04,020022838,ACTIVE,PGS142800D9,SDU Spares,SDU-RTP10,3
000A6A1,CISCO,ASA5585-S20X-K9,RTP10 SDU Lab,G,24,020022838,ACTIVE,JMX1539701D,SDU CVF,SDU-RTP10,2
000A6D8,CISCO,WS-SVC-ASA-SM1,RTP10 SDU Lab,H,15,020022838,INACTIVE,SAL1530KNVW,SDU VMDC Ent,SDU-RTP10,4
000A6EA,CISCO,MDE-1100-K9,RTP10 SDU Lab,EE,17,020022838,ACTIVE,QCI1533ABH5,SDU CVF,SDU-RTP10,2
000A6ED,CISCO,MDE-1100-K9,RTP10 SDU Lab,EE,17,020022838,ACTIVE,QCI1533ABJB,SDU CVF,SDU-RTP10,2
000A6F9,CISCO,WS-SVC-ASA-SM1,RTP10 SDU Lab,DD,26,020022838,ACTIVE,SAL1530KNXS,SDU Spares,SDU-RTP10,3
000A709,CISCO,WS-SVC-ASA-SM1,RTP10 SDU Lab,H,15,020022838,INACTIVE,SAL1530KNY8,SDU VMDC Ent,SDU-RTP10,4
000A731,CISCO,MXE-3500-V2-BSE-K9,RTP10 SDU Lab,EE,17,020022838,ACTIVE,QCI1534A46Q,SDU CVF,SDU-RTP10,2
000A73B,CISCO,WS-SVC-ASA-SM1,RTP10 SDU Lab,DD,26,020022838,ACTIVE,SAL1530KNYU,SDU Spares,SDU-RTP10,3
000A8CD,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A7EJ,SDU CVF,SDU-RTP10,2
000A8CE,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A25U,SDU CVF,SDU-RTP10,2
000A8CF,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3F1,SDU CVF,SDU-RTP10,2
000A8D0,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3J9,SDU CVF,SDU-RTP10,2
000A8D1,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3JQ,SDU CVF,SDU-RTP10,2
000A8D2,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A20A,SDU CVF,SDU-RTP10,2
000A8D3,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A7F0,SDU CVF,SDU-RTP10,2
000A8E7,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3KG,SDU CVF,SDU-RTP10,2
000A8E9,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A25O,SDU CVF,SDU-RTP10,2
000A8EB,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A7EF,SDU CVF,SDU-RTP10,2
000A8F4,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A1YZ,SDU CVF,SDU-RTP10,2
000A8F6,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A252,SDU CVF,SDU-RTP10,2
000A8F9,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3L1,SDU CVF,SDU-RTP10,2
000A8FB,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3EG,SDU CVF,SDU-RTP10,2
000A8FC,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3HH,SDU CVF,SDU-RTP10,2
000A908,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3KZ,SDU CVF,SDU-RTP10,2
000A913,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3K1,SDU CVF,SDU-RTP10,2
000A91A,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3DX,SDU CVF,SDU-RTP10,2
000A91C,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3LC,SDU CVF,SDU-RTP10,2
000A91D,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3K2,SDU CVF,SDU-RTP10,2
000A920,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A24S,SDU CVF,SDU-RTP10,2
000A922,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A7EY,SDU CVF,SDU-RTP10,2
000A924,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3KL,SDU CVF,SDU-RTP10,2
000A927,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A7E3,SDU CVF,SDU-RTP10,2
000A928,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3GI,SDU CVF,SDU-RTP10,2
000A929,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3KP,SDU CVF,SDU-RTP10,2
000A92A,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A7E2,SDU CVF,SDU-RTP10,2
000A937,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3ER,SDU CVF,SDU-RTP10,2
000A938,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3FP,SDU CVF,SDU-RTP10,2
000A93D,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A25C,SDU CVF,SDU-RTP10,2
000A949,CISCO,R200-1120402W,RTP10 SDU Lab,F,29,020022838,ACTIVE,QCI1539A3KK,SDU CVF,SDU-RTP10,2
