eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
005C671,NETAPP,DS14 MK4,RTP10 SDU Lab,GG,31,020022838,ACTIVE,SHJ936310116596,SDU Spares,SDU-RTP10,3
005C672,NETAPP,FAS6080,RTP10 SDU Lab,GG,31,020022838,ACTIVE,G7KFW2AJ500036,SDU Spares,SDU-RTP10,3
005C676,MRV,LX-5250-24VYS1,RTP10 SDU Lab,GG,31,020022838,ACTIVE,AABC0000544,SDU Spares,SDU-RTP10,3
005C677,CISCO,WS-C4948-10GE,RTP10 SDU Lab,CC,05,020022838,ACTIVE,FOX11350TZ6,SDU CVF,SDU-RTP10,2
005C67B,CISCO,WS-C4948-10GE-S,RTP10 SDU Lab,G,27,020022838,ACTIVE,FOX11010SHK,SDU CVF,SDU-RTP10,2
005C67C,CISCO,N20-B6620-1,RTP10 SDU Lab,G,29,020022838,ACTIVE,QCI135194OY,SDU CVF,SDU-RTP10,2
005C67D,CISCO,N10-E0060,RTP10 SDU Lab,E,07,020022838,ACTIVE,JAF1414CMMJ,SDU Spares,SDU-RTP10,3
005C67F,NETAPP,FAS6080,RTP10 SDU Lab,GG,31,020022838,ACTIVE,G7KFW2AK090010,SDU Spares,SDU-RTP10,3
005C680,NETAPP,DS14 MK2,RTP10 SDU Lab,GG,31,020022838,ACTIVE,SHU89767003BD94,SDU Spares,SDU-RTP10,3
005C681,CISCO,N20-B6620-1,RTP10 SDU Lab,G,29,020022838,ACTIVE,QCI135001FU,SDU CVF,SDU-RTP10,2
005C682,NETAPP,DS14 MK4,RTP10 SDU Lab,GG,31,020022838,ACTIVE,SHJ9363101165AD,SDU Spares,SDU-RTP10,3
005C684,CISCO,N20-B6620-1,RTP10 SDU Lab,G,29,020022838,ACTIVE,QCI135194RN,SDU CVF,SDU-RTP10,2
005C6B7,EMC2,EMC2 AVAMAR,RTP10 SDU Lab,J,29,020022838,ACTIVE,103471680,SDU Spares,SDU-RTP10,3
005C6B8,CISCO,15454-OTU2-XP,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CA61319B008,SDU Spares,SDU-RTP10,3
005C6B9,CISCO,15454-PP-80-LC,RTP10 SDU Lab,JJ,03,020022838,ACTIVE,ADM1316000L,SDU Spares,SDU-RTP10,3
005C6BA,CISCO,NP 1200,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,01KZ48010797,SDU Spares,SDU-RTP10,3
005C6BB,CISCO,15454-OTU2-XP,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CA61319B006,SDU Spares,SDU-RTP10,3
005C6BC,CISCO,15454-SA-HD,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,SAT10330BXE,SDU Spares,SDU-RTP10,3
005C6BD,CISCO,15216-DCU-100,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,OFS1308000R,SDU Spares,SDU-RTP10,3
005C6BF,CISCO,NP 1200,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,01KZ49011858,SDU Spares,SDU-RTP10,3
005C6C0,CISCO,15454-40-DMX-C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1315B269,SDU Spares,SDU-RTP10,3
005C6C1,CISCO,15454-10DME-C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1315B0M9,SDU DCI,SDU-RTP10,5
005C6C2,CISCO,15454-10DME-C,RTP10 SDU Lab,JJ,03,020022838,ACTIVE,CAT1317B10J,SDU Spares,SDU-RTP10,3
005C6C3,CISCO,15216-DCU-100,RTP10 SDU Lab,JJ,03,020022838,ACTIVE,OFS130300J2,SDU Spares,SDU-RTP10,3
005C6C4,CISCO,15454-OTU2-XP,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CA61319B005,SDU Spares,SDU-RTP10,3
005C6C5,CISCO,15216-DCU-100,RTP10 SDU Lab,JJ,03,020022838,ACTIVE,OFS1308000T,SDU Spares,SDU-RTP10,3
005C6C6,CISCO,NP 1200,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,01KZ48014362,SDU Spares,SDU-RTP10,3
005C6C7,CISCO,15454-10DME-C,RTP10 SDU Lab,JJ,03,020022838,ACTIVE,CAT1315B0M8,SDU Spares,SDU-RTP10,3
005C6C8,CISCO,CWDM-MUX-8,RTP10 SDU Lab,JJ,06,020022838,ACTIVE,FNS03530449,SDU Spares,SDU-RTP10,3
005C6C9,CISCO,15454-10DME-C,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1317B10G,SDU Spares,SDU-RTP10,3
005C6CA,CISCO,"RACK: 19"" - 7FT",RTP10 SDU Lab,JJ,02,020022838,ACTIVE,103471685,SDU Spares,SDU-RTP10,3
005C6CB,CISCO,15454-OPT-PRE,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,BKS13020124,SDU Spares,SDU-RTP10,3
005C6CC,CISCO,15454-MS-ISC-100T,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1313A0AS,SDU Spares,SDU-RTP10,3
